date,status,country
"Feb. 4, 2018",Held,Republic of Cyprus
"Feb. 4, 2018",Held,Republic of Costa Rica
"Jan. 28, 2018",Held,Republic of Cyprus
"Jan. 28, 2018",Held,Republic of Finland
"Jan. 26, 2018",Held,Czech Republic
"Jan. 12, 2018",Held,Czech Republic
"Jan. 7, 2018",Held,Turkish Republic of Northern Cyprus (TRNC)
"Nov. 26, 2017",Confirmed,Republic of Honduras
"Nov. 26, 2017",Held,Republic of Honduras
"Nov. 26, 2017",Held,Federal Democratic Republic of Nepal
"Nov. 19, 2017",Held,Republic of Chile
"Nov. 19, 2017",Confirmed,Republic of Chile
"Nov. 19, 2017",Held,Republic of Chile
"Nov. 16, 2017",Held,Kingdom of Tonga
"Nov. 13, 2017",Held,Republic of Somaliland
"Nov. 12, 2017",Held,Republic of Equatorial Guinea
"Nov. 12, 2017",Held,Republic of Slovenia
"Nov. 12, 2017",Held,Republic of Equatorial Guinea
"Nov. 9, 2017",Held,Falkland Islands (Malvinas)
"Oct. 29, 2017",Held,Argentine Republic
"Oct. 29, 2017",Held,Argentine Republic
"Oct. 28, 2017",Snap,Republic of Iceland
"Oct. 26, 2017",Held,Republic of Kenya
"Oct. 22, 2017",Held,Republic of Slovenia
"Oct. 22, 2017",Held,Japan
"Oct. 20, 2017",Confirmed,Czech Republic
"Oct. 15, 2017",Held,Republic of Austria
"Oct. 15, 2017",Held,Kyrgyz Republic
"Oct. 10, 2017",Held,Republic of Liberia
"Oct. 10, 2017",Held,Republic of Liberia
"Sept. 25, 2017",Held,Republic of Iraq
"Sept. 24, 2017",Held,Swiss Confederation
"Sept. 24, 2017",Confirmed,Federal Republic of Germany
"Sept. 23, 2017",Held,New Zealand
"Sept. 23, 2017",Held,Republic of Singapore
"Sept. 22, 2017",Held,Aruba
"Sept. 17, 2017",Held,Macau Special Administrative Region
"Sept. 11, 2017",Held,Kingdom of Norway
"Aug. 23, 2017",Held,Republic of Angola
"Aug. 8, 2017",Held,Republic of Kenya
"Aug. 8, 2017",Held,Republic of Kenya
"Aug. 5, 2017",Held,Islamic Republic of Mauritania
"Aug. 4, 2017",Held,Republic of Rwanda
"July 26, 2017",Held,Saint Helena
"July 22, 2017",Held,Democratic Republic of Timor-Leste
"July 16, 2017",Held,Republic of the Congo
"July 12, 2017",Held,Bermuda
"July 9, 2017",Held,Mongolia
"July 2, 2017",Held,Republic of Senegal
"June 26, 2017",Held,Mongolia
"June 25, 2017",Held,Republic of Albania
"June 24, 2017",Confirmed,Independent State of Papua New Guinea
"June 18, 2017",Held,French Republic
"June 11, 2017",Held,Republic of Kosovo
"June 11, 2017",Held,French Republic
"June 8, 2017",Held,United Kingdom of Great Britain and Northern Ireland
"June 3, 2017",Held,Republic of Malta
"June 3, 2017",Held,Kingdom of Lesotho
"May 24, 2017",Confirmed,Cayman Islands
"May 21, 2017",Held,Swiss Confederation
"May 19, 2017",Held,Islamic Republic of Iran
"May 10, 2017",Held,Commonwealth of the Bahamas
"May 9, 2017",Held,Republic of Korea
"May 7, 2017",Held,French Republic
"May 6, 2017",Held,Niue
"May 4, 2017",Held,People's Democratic Republic of Algeria
"April 23, 2017",Held,French Republic
"April 16, 2017",Held,Republic of Turkey
"April 6, 2017",Held,Republic of The Gambia
"April 2, 2017",Held,Republic of Ecuador
"April 2, 2017",Held,Republic of Armenia
"April 2, 2017",Held,Republic of Serbia
"March 26, 2017",Held,Republic of Bulgaria
"March 20, 2017",Held,Democratic Republic of Timor-Leste
"March 15, 2017",Held,Kingdom of the Netherlands
"March 7, 2017",Held,Federated States Of Micronesia
"March 2, 2017",Held,Northern Ireland
"Feb. 19, 2017",Held,Republic of Ecuador
"Feb. 19, 2017",Held,Republic of Ecuador
"Feb. 19, 2017",Held,Republic of Ecuador
"Feb. 12, 2017",Held,Turkmenistan
"Feb. 12, 2017",Held,Swiss Confederation
"Feb. 5, 2017",Held,Principality of Liechtenstein
"Jan. 8, 2017",Held,Federal Republic of Somalia
"Dec. 18, 2016",Held,Republic of Côte d'Ivoire
"Dec. 15, 2016",Held,Turks and Caicos Islands
"Dec. 11, 2016",Held,Romania
"Dec. 11, 2016",Held,Romania
"Dec. 11, 2016",Held,Republic of North Macedonia
"Dec. 11, 2016",Held,Kyrgyz Republic
"Dec. 7, 2016",Held,Republic of Ghana
"Dec. 7, 2016",Held,Republic of Ghana
"Dec. 4, 2016",Held,Republic of Uzbekistan
"Dec. 4, 2016",Held,Republic of Austria
"Dec. 4, 2016",Held,Italian Republic
"Dec. 1, 2016",Held,Republic of The Gambia
"Nov. 27, 2016",Held,Swiss Confederation
"Nov. 26, 2016",Moved Up/ Snap,State of Kuwait
"Nov. 24, 2016",Held,Grenada
"Nov. 20, 2016",Held,Republic of Haiti
"Nov. 13, 2016",Held,Republic of Moldova
"Nov. 13, 2016",Held,Republic of Bulgaria
"Nov. 8, 2016",Held,United States of America
"Nov. 8, 2016",Held,United States of America
"Nov. 8, 2016",Held,Commonwealth of Puerto Rico
"Nov. 8, 2016",Held,Commonwealth of Puerto Rico
"Nov. 8, 2016",Held,Commonwealth of Puerto Rico
"Nov. 8, 2016",Held,United States of America
"Nov. 6, 2016",Held,Republic of Nicaragua
"Nov. 6, 2016",Held,Republic of Bulgaria
"Nov. 6, 2016",Held,Republic of Nicaragua
"Nov. 6, 2016",Held,Republic of Bulgaria
"Nov. 1, 2016",Held,Republic of Palau
"Nov. 1, 2016",Held,Republic of Palau
"Nov. 1, 2016",Held,Republic of Palau
"Oct. 30, 2016",Held,Georgia
"Oct. 30, 2016",Held,Republic of Côte d'Ivoire
"Oct. 30, 2016",Held,Republic of Moldova
"Oct. 29, 2016",Held,Republic of Iceland
"Oct. 23, 2016",Held,Republic of Lithuania
"Oct. 16, 2016",Held,Montenegro
"Oct. 15, 2016",Postponed,Islamic Republic of Afghanistan
"Oct. 9, 2016",Held,Republic of Lithuania
"Oct. 9, 2016",Postponed,Republic of Haiti
"Oct. 8, 2016",Held,Georgia
"Oct. 7, 2016",Held,Kingdom of Morocco
"Oct. 5, 2016",Held,Country of Curacao
"Oct. 2, 2016",Held,Republic of Colombia
"Oct. 2, 2016",Held,Republic of Cabo Verde
"Oct. 2, 2016",Held,Hungary
"Sept. 25, 2016",Held,Swiss Confederation
"Sept. 25, 2016",Held,Basque Country
"Sept. 25, 2016",Held,Autonomous Community of Galicia
"Sept. 22, 2016",Held,Isle of Man
"Sept. 20, 2016",Held,Hashemite Kingdom of Jordan
"Sept. 18, 2016",Held,Russian Federation
"Sept. 11, 2016",Held,Republic of Belarus
"Sept. 11, 2016",Held,Republic of Croatia
"Sept. 8, 2016",Held,Republic of Seychelles
"Sept. 4, 2016",Held,Hong Kong Special Administrative Region
"Aug. 27, 2016",Held,Gabonese Republic
"Aug. 11, 2016",Held,Republic of Zambia
"Aug. 11, 2016",Held,Republic of Zambia
"Aug. 11, 2016",Held,Republic of Zambia
"Aug. 7, 2016",Held,Kingdom of Thailand
"Aug. 7, 2016",Held,Democratic Republic of Sao Tome and Principe
"July 17, 2016",Held,Democratic Republic of Sao Tome and Principe
"July 10, 2016",Held,Japan
"July 9, 2016",Held,Republic of Nauru
"July 2, 2016",Held,Commonwealth of Australia
"July 2, 2016",Held,Commonwealth of Australia
"June 29, 2016",Held,Mongolia
"June 26, 2016",Held,Kingdom of Spain
"June 26, 2016",Held,Kingdom of Spain
"June 25, 2016",Held,Republic of Iceland
"June 23, 2016",Held,United Kingdom of Great Britain and Northern Ireland
"June 7, 2016",Held,Commonwealth of the Bahamas
"June 6, 2016",Held,Saint Lucia
"June 5, 2016",Held,Republic of Peru
"June 5, 2016",Held,Swiss Confederation
"May 22, 2016",Held,Republic of Cyprus
"May 22, 2016",Held,Socialist Republic of Vietnam
"May 22, 2016",Held,Republic of Austria
"May 22, 2016",Held,Republic of Tajikistan
"May 15, 2016",Held,Dominican Republic
"May 15, 2016",Held,Dominican Republic
"May 15, 2016",Held,Dominican Republic
"May 9, 2016",Held,Republic of the Philippines
"May 9, 2016",Held,Republic of the Philippines
"May 9, 2016",Held,Republic of the Philippines
"May 9, 2016",Held,Republic of the Philippines
"May 5, 2016",Held,Wales
"May 5, 2016",Held,Scotland
"May 5, 2016",Held,Northern Ireland
"April 24, 2016",Held,Republic of Serbia
"April 24, 2016",Held,Republic of Austria
"April 24, 2016",Held,Republic of Equatorial Guinea
"April 17, 2016",Held,Italian Republic
"April 13, 2016",Held,Republic of Korea
"April 11, 2016",Held,Republic of the Sudan
"April 10, 2016",Held,Republic of Chad
"April 10, 2016",Held,Union of the Comoros
"April 10, 2016",Held,Republic of Peru
"April 10, 2016",Held,Republic of Peru
"April 8, 2016",Held,Republic of Djibouti
"April 6, 2016",Held,Kingdom of the Netherlands
"March 31, 2016",Held,Central African Republic
"March 20, 2016",Held,Republic of the Congo
"March 20, 2016",Held,Republic of Benin
"March 20, 2016",Held,Republic of Kazakhstan
"March 20, 2016",Held,Lao People's Democratic Republic
"March 20, 2016",Held,Republic of Niger
"March 20, 2016",Held,Republic of Cabo Verde
"March 20, 2016",Held,Republic of Senegal
"March 9, 2016",Held,Republic of Kiribati
"March 6, 2016",Held,Republic of Benin
"March 5, 2016",Held,Slovak Republic
"March 4, 2016",Held,Independent State of Samoa
"March 3, 2016",Held,New Zealand
"Feb. 28, 2016",Held,Swiss Confederation
"Feb. 26, 2016",Held,Ireland
"Feb. 26, 2016",Held,Islamic Republic of Iran
"Feb. 26, 2016",Held,Islamic Republic of Iran
"Feb. 25, 2016",Held,Jamaica
"Feb. 21, 2016",Held,Union of the Comoros
"Feb. 21, 2016",Held,Plurinational State of Bolivia
"Feb. 21, 2016",Held,Republic of Niger
"Feb. 21, 2016",Held,Republic of Niger
"Feb. 18, 2016",Held,Republic of Uganda
"Feb. 18, 2016",Held,Republic of Uganda
"Feb. 14, 2016",Held,Central African Republic
"Feb. 14, 2016",Held,Central African Republic
"Jan. 24, 2016",Held,Portuguese Republic
"Jan. 22, 2016",Held,Republic of Vanuatu
"Jan. 16, 2016",Held,Republic of China
"Jan. 16, 2016",Held,Republic of China
"Dec. 30, 2015",Held,Central African Republic
"Dec. 30, 2015",Cancelled,Central African Republic
"Dec. 30, 2015",Held,Republic of Kiribati
"Dec. 20, 2015",Held,Kingdom of Spain
"Dec. 20, 2015",Held,Kingdom of Spain
"Dec. 18, 2015",Held,Republic of Rwanda
"Dec. 16, 2015",Held,Republic of Seychelles
"Dec. 13, 2015",Held,Central African Republic
"Dec. 9, 2015",Held,Saint Vincent and the Grenadines
"Dec. 6, 2015",Held,Republic of Armenia
